mid,gid
475,6
475,8
475,4
476,0
476,10
476,11
477,0
478,0
478,22
479,0
479,6
480,8
480,3
480,4
481,1
481,2
481,4
482,0
482,9
482,10
482,11
483,0
484,6
484,15
484,3
484,20
485,6
485,15
485,20
486,0
486,13
486,11
487,0
487,6
487,15
487,18
488,2
488,8
488,4
489,0
489,15
489,5
490,0
490,3
490,4
491,15
491,8
491,3
491,4
492,6
492,9
492,17
492,3
493,6
493,1
493,2
493,8
493,4
494,0
494,15
495,6
495,8
495,4
496,8
496,22
496,3
497,0
497,14
497,18
498,8
498,3
498,4
499,0
499,1
499,2
499,3
499,4
500,0
500,15
501,1
501,18
502,0
502,13
502,14
503,0
503,12
503,4
504,3
504,4
505,0
505,6
505,15
506,0
506,10
506,11
507,3
507,4
508,8
508,5
508,4
509,0
509,26
509,18
510,0
510,6
510,4
511,0
511,1
511,2
511,10
511,11
512,3
512,4
513,0
513,11
514,9
514,3
514,4
515,0
515,6
516,0
517,0
517,6
518,1
518,3
518,4
519,0
519,12
519,14
520,6
520,9
520,10
520,11
521,0
521,15
521,26
522,0
523,0
523,9
523,10
524,0
524,15
524,3
525,6
525,8
525,4
526,3
526,4
527,0
527,6
527,15
528,0
528,6
528,4
529,0
529,15
529,3
530,0
530,15
531,3
531,4
532,0
532,10
532,11
533,0
533,2
533,9
533,10
534,0
535,0
535,9
535,10
535,11
536,0
536,12
536,11
537,0
537,1
537,3
537,4
538,6
538,11
539,0
539,9
539,11
540,1
540,2
540,3
540,4
541,0
541,6
541,15
542,0
543,8
543,3
543,4
544,3
544,4
545,6
545,15
545,3
546,0
547,0
548,0
548,12
549,0
549,6
549,15
550,0
550,9
550,10
551,0
551,22
551,13
551,18
552,1
552,2
553,0
553,15
553,17
554,6
554,8
554,5
554,3
555,0
555,1
555,3
555,4
556,0
556,13
557,1
557,2
557,10
557,4
558,0
558,15
559,0
559,2
559,4
560,0
560,6
560,20
561,1
561,2
561,3
561,4
562,1
562,2
562,8
562,4
563,0
563,6
563,11
564,0
564,15
565,0
565,1
565,9
565,11
566,0
566,1
566,3
566,4
567,6
567,8
567,4
568,6
568,8
568,25
568,3
568,4
569,0
569,9
569,10
569,11
570,0
570,9
570,10
571,0
571,13
571,14
571,18
572,0
572,11
573,0
574,0
574,9
574,10
575,15
575,3
575,19
575,20
576,0
576,9
576,11
